"rank","global_rank","so_answer_id"
517,2034,"689381"
518,2035,"5555361"
519,2056,"5945893"
520,2057,"5945928"
521,2064,"23921357"
522,2075,"2623292"
523,2085,"2143505"
524,2092,"20331241"
525,2094,"8721304"
526,2095,"8721272"
527,2104,"811996"
528,2110,"1522115"
529,2114,"55132"
530,2115,"10251692"
531,2116,"25785306"
532,2118,"54917"
533,2120,"17997441"
534,2121,"5054217"
535,2141,"4441118"
536,2144,"4441145"
537,2149,"1432993"
538,2152,"924213"
539,2153,"33346328"
540,2154,"924220"
541,2155,"19241390"
542,2176,"3750129"
543,2186,"23124590"
544,2193,"33949547"
545,2200,"924506"
546,2209,"2800839"
547,2222,"2504098"
548,2224,"3806154"
549,2226,"2371162"
550,2227,"25681116"
551,2230,"9936664"
552,2231,"9936658"
553,2232,"36413721"
554,2233,"24309678"
555,2234,"13063043"
556,2235,"17072953"
557,2242,"42375654"
558,2249,"9858601"
559,2250,"4614261"
560,2259,"11506847"
561,2275,"12772470"
562,2285,"17973014"
563,2288,"8441695"
564,2289,"4229001"
565,2310,"15946317"
566,2313,"16956842"
567,2314,"16956747"
568,2319,"2367421"
569,2320,"36457831"
570,2322,"2367418"
571,2324,"11955201"
572,2325,"60172"
573,2331,"47293407"
574,2332,"8534422"
575,2334,"8534372"
576,2335,"24230224"
577,2337,"8534309"
578,2341,"32912668"
579,2345,"17719505"
580,2346,"6319385"
581,2348,"3680234"
582,2379,"4401909"
583,2380,"40961978"
584,2382,"1583968"
585,2388,"4157364"
586,2389,"4157429"
587,2400,"28631202"
588,2403,"10608047"
589,2406,"4067825"
590,2407,"4067829"
591,2430,"23945792"
592,2450,"25757048"
593,2451,"10910970"
594,2460,"328257"
595,2464,"15553440"
596,2465,"6432037"
597,2466,"6432100"
598,2467,"6431949"
599,2473,"2912935"
600,2477,"14832184"
601,2479,"28002293"
602,2480,"20904059"
603,2488,"35839827"
604,2489,"22083329"
605,2492,"11073496"
606,2506,"8549759"
607,2508,"5988385"
608,2510,"18231938"
609,2511,"18231918"
610,2526,"5936788"
611,2527,"6994664"
612,2534,"4581724"
613,2535,"4581726"
614,2548,"31529213"
615,2550,"8118857"
616,2552,"2429246"
617,2560,"17121338"
618,2570,"25511009"
619,2596,"8555628"
620,2598,"10078904"
621,2605,"9782667"
622,2606,"1305384"
623,2611,"48444156"
624,2612,"33456884"
625,2613,"1843474"
626,2617,"16703299"
627,2618,"16702609"
628,2628,"14518205"
629,2629,"14518249"
630,2638,"12899989"
631,2646,"5258323"
632,2661,"941285"
633,2662,"11840104"
634,2664,"942587"
635,2684,"4863676"
636,2688,"43955252"
637,2690,"30696509"
638,2700,"3912830"
639,2703,"3912814"
640,2705,"37785577"
641,2729,"27214568"
642,2733,"32439747"
